캠퍼스,대학/교양,학과/전공/영역,개설대학,개설학과,학년,과정,이수구분,과목번호,분반,과목명,학점,시간,담당교수,폐강,강의시간,유연학기,비고,수업유형
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,1,ACT,2,2,,, / ,,"공통교양 2학년 이상 수강 가능/의과대학, 약학대학 1학년 수강 가능",
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,2,ACT,2,2,,, / ,,"공통교양 2학년 이상 수강 가능/의과대학, 약학대학 1학년 수강 가능",
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,3,ACT,2,2,,, / ,,"공통교양 2학년 이상 수강 가능/의과대학, 약학대학 1학년 수강 가능",
서울,교양,공통교양,대학(전체),,전체,학사,교양,49950,4,ACT,2,2,,, / ,,"공통교양 2학년 이상 수강 가능/의과대학, 약학대학 1학년 수강 가능",
서울,교양,공통교양,대학(전체),,전체,학사,교양,50023,1,COMMUNICATION IN ENGLISH,2,3,,, / ,,공통교양 ,
서울,교양,공통교양,대학(전체),,전체,학사,교양,50023,2,COMMUNICATION IN ENGLISH,2,3,,, / ,,공통교양 ,
서울,교양,공통교양,대학(전체),,전체,학사,교양,50023,3,COMMUNICATION IN ENGLISH,2,3,,, / ,,공통교양 ,
서울,교양,공통교양,대학(전체),,전체,학사,교양,42183,1,글쓰기,2,2,,, / ,,공통교양 ,
서울,교양,공통교양,대학(전체),,전체,학사,교양,42183,2,글쓰기,2,2,,, / ,,공통교양 ,
서울,교양,공통교양,대학(전체),,전체,학사,교양,42183,3,글쓰기,2,2,,, / ,,공통교양 ,
서울,교양,공통교양,대학(전체),,전체,학사,교양,52533,1,앙트레프레너십시대의회계,2,2,,, / ,,공통교양 ,
서울,교양,공통교양,대학(전체),,전체,학사,교양,52533,2,앙트레프레너십시대의회계,2,2,,, / ,,공통교양 ,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49949,1,창의와소통,2,2,,, / ,,공통교양 ,
서울,교양,공통교양,대학(전체),,전체,학사,교양,49949,2,창의와소통,2,2,,, / ,,공통교양 ,
서울,교양,공통교양,대학(전체),,전체,학사,교양,56423,1,컴퓨팅사고와인공지능리터러시,2,2,,, / ,,공통교양 ,
서울,교양,공통교양,대학(전체),,전체,학사,교양,56423,2,컴퓨팅사고와인공지능리터러시,2,2,,, / ,,공통교양 ,
서울,교양,공통교양,대학(전체),,전체,학사,교양,42301,1,한국사,2,2,,, / ,,"공통교양 2학년 이상 수강 가능/적십자간호대학, 의과대학, 약학대학 1학년 수강 가능",
서울,교양,공통교양,대학(전체),,전체,학사,교양,42301,2,한국사,2,2,,, / ,,"공통교양 2학년 이상 수강 가능/적십자간호대학, 의과대학, 약학대학 1학년 수강 가능",
서울,교양,핵심-도전,대학(전체),,전체,학사,교양,57786,1,환경리터러시와지속가능한지구,3,3,,, / ,,핵심-도전 ,
서울,인문대학(2011),국어국문학부,인문대학,국어국문학전공,2,학사,전공필수,2106,1,고전작가론,3,3,김성문,,"월4,5,6, 화4,5,6, 수4,5,6, 목4,5,6, 금4,5,6 / 203관 510호 <강의실>",,,대면 수업
서울,인문대학(2011),국어국문학전공,인문대학,국어국문학전공,2,학사,전공필수,2106,1,고전작가론,3,3,김성문,,"월4,5,6, 화4,5,6, 수4,5,6, 목4,5,6, 금4,5,6 / 203관 510호 <강의실>",,,대면 수업
서울,인문대학(2011),영어영문학과,인문대학,영어영문학과,2,학사,전공필수,14632,1,영국문학사,3,3,,, / ,,,실시간100%
서울,인문대학(2011),유럽문화학부,인문대학,프랑스어문학전공,2,학사,전공,40658,1,프랑스사회와문화(1),3,3,,, / ,,,실시간100%
서울,인문대학(2011),프랑스어문학전공,인문대학,프랑스어문학전공,2,학사,전공,40658,1,프랑스사회와문화(1),3,3,,, / ,,,실시간100%
서울,공과대학(2011),건설환경플랜트공학전공,공과대학,건설환경플랜트공학전공,1,학사,전공기초,48095,1,일반물리학(1),2,2,조광희,,"월3,4, 화3,4, 수3,4, 목3,4, 금3,4 / 310관 417호 <강의실>",,공학교육인증/MSC,대면 수업
서울,공과대학(2011),건설환경플랜트공학전공,공과대학,건설환경플랜트공학전공,1,학사,전공기초,17441,1,일반물리학(2),2,2,윤옥자,,"월3,4, 화3,4, 수3,4, 목3,4, 금3,4 / 310관 419호 <강의실>",,공학교육인증/MSC,대면 수업
서울,공과대학(2011),건축학부,공과대학,건축학부,1,학사,전공기초,48098,1,선형대수학,3,3,천상민,,"월7,8,9, 화7,8,9, 수7,8,9, 목7,8,9, 금7,8,9 / 310관 417호 <강의실>",,공학교육인증/MSC,대면 수업
서울,공과대학(2011),기계공학부,공과대학,기계공학부,1,학사,전공기초,47715,1,미적분학,3,3,남궁정일,,"월1,2,3, 화1,2,3, 수1,2,3, 목1,2,3, 금1,2,3 / 310관 517호 <강의실>",,공학교육인증/MSC,혼합형(원격70%이상)+대면수업
서울,공과대학(2011),기계공학부,공과대학,기계공학부,1,학사,전공기초,48098,1,선형대수학,3,3,박광순,,"월1,2,3, 화1,2,3, 수1,2,3, 목1,2,3, 금1,2,3 / 310관 520호 <강의실>",,공학교육인증/MSC,대면 수업
서울,공과대학(2011),사회기반시스템공학부,공과대학,건설환경플랜트공학전공,1,학사,전공기초,48095,1,일반물리학(1),2,2,조광희,,"월3,4, 화3,4, 수3,4, 목3,4, 금3,4 / 310관 417호 <강의실>",,공학교육인증/MSC,대면 수업
서울,공과대학(2011),사회기반시스템공학부,공과대학,건설환경플랜트공학전공,1,학사,전공기초,17441,1,일반물리학(2),2,2,윤옥자,,"월3,4, 화3,4, 수3,4, 목3,4, 금3,4 / 310관 419호 <강의실>",,공학교육인증/MSC,대면 수업
